,date,case
145,2004-10-11,1297
146,2004-10-18,1078
147,2004-10-25,1097
148,2004-11-01,1078
149,2004-11-08,1176
150,2004-11-15,1038
151,2004-11-22,1109
152,2004-11-29,1105
153,2004-12-06,1015
154,2004-12-13,1057
155,2004-12-20,876
156,2004-12-27,451
157,2005-01-03,787
158,2005-01-10,1298
159,2005-01-17,1024
160,2005-01-24,896
161,2005-01-31,873
162,2005-02-07,809
163,2005-02-14,726
164,2005-02-21,771
165,2005-02-28,817
166,2005-03-07,753
167,2005-03-14,669
168,2005-03-21,604
169,2005-03-28,528
170,2005-04-04,750
171,2005-04-11,1031
172,2005-04-18,1078
173,2005-04-25,1090
174,2005-05-02,896
175,2005-05-09,1067
176,2005-05-16,1006
177,2005-05-23,1232
178,2005-05-30,1485
179,2005-06-06,1774
180,2005-06-13,1676
181,2005-06-20,1791
182,2005-06-27,1826
183,2005-07-04,1836
184,2005-07-11,1866
185,2005-07-18,1756
186,2005-07-25,1790
187,2005-08-01,1683
188,2005-08-08,1724
189,2005-08-15,1628
190,2005-08-22,1751
191,2005-08-29,1730
192,2005-09-05,1786
193,2005-09-12,1729
194,2005-09-19,1509
195,2005-09-26,1291
196,2005-10-03,1013
197,2005-10-10,1368
198,2005-10-17,1291
199,2005-10-24,1251
200,2005-10-31,991
201,2005-11-07,1054
202,2005-11-14,1051
203,2005-11-21,921
204,2005-11-28,839
205,2005-12-05,806
206,2005-12-12,864
207,2005-12-19,833
208,2005-12-26,522
209,2006-01-02,714
210,2006-01-09,1234
211,2006-01-16,1042
212,2006-01-23,738
213,2006-01-30,756
214,2006-02-06,701
215,2006-02-13,712
216,2006-02-20,655
217,2006-02-27,637
218,2006-03-06,618
219,2006-03-13,631
220,2006-03-20,633
221,2006-03-27,539
222,2006-04-03,560
223,2006-04-10,463
224,2006-04-17,454
225,2006-04-24,676
226,2006-05-01,646
227,2006-05-08,757
228,2006-05-15,871
229,2006-05-22,721
230,2006-05-29,808
231,2006-06-05,903
232,2006-06-12,1065
233,2006-06-19,1223
234,2006-06-26,1310
235,2006-07-03,1258
236,2006-07-10,1352
237,2006-07-17,1370
238,2006-07-24,1367
239,2006-07-31,1554
240,2006-08-07,1492
241,2006-08-14,1561
242,2006-08-21,1590
243,2006-08-28,1516
244,2006-09-04,1364
245,2006-09-11,1466
246,2006-09-18,1301
247,2006-09-25,1216
248,2006-10-02,978
249,2006-10-09,1097
250,2006-10-16,1133
251,2006-10-23,1189
252,2006-10-30,997
253,2006-11-06,1095
254,2006-11-13,1131
255,2006-11-20,1133
256,2006-11-27,1131
257,2006-12-04,1000
258,2006-12-11,1077
259,2006-12-18,1059
260,2006-12-25,565
261,2007-01-01,657
262,2007-01-08,1223
263,2007-01-15,1180
264,2007-01-22,978
265,2007-01-29,1022
266,2007-02-05,901
267,2007-02-12,924
268,2007-02-19,835
269,2007-02-26,929
270,2007-03-05,1026
271,2007-03-12,1015
272,2007-03-19,1026
273,2007-03-26,939
274,2007-04-02,877
275,2007-04-09,770
276,2007-04-16,1126
277,2007-04-23,1227
278,2007-04-30,974
279,2007-05-07,1304
280,2007-05-14,1201
281,2007-05-21,1339
282,2007-05-28,1351
283,2007-06-04,1473
284,2007-06-11,1808
285,2007-06-18,2023
286,2007-06-25,1879
287,2007-07-02,1882
288,2007-07-09,1933
289,2007-07-16,1945
290,2007-07-23,1834
291,2007-07-30,1590
292,2007-08-06,1432
293,2007-08-13,1712
294,2007-08-20,1717
295,2007-08-27,1688
296,2007-09-03,1623
297,2007-09-10,1501
298,2007-09-17,1431
299,2007-09-24,1362
300,2007-10-01,1155
301,2007-10-08,1356
302,2007-10-15,1372
303,2007-10-22,1274
304,2007-10-29,1156
305,2007-11-05,1247
306,2007-11-12,1320
307,2007-11-19,1133
308,2007-11-26,1078
309,2007-12-03,1035
310,2007-12-10,978
311,2007-12-17,941
312,2007-12-24,442
313,2007-12-31,479
314,2008-01-07,1037
315,2008-01-14,1062
316,2008-01-21,828
317,2008-01-28,827
318,2008-02-04,757
319,2008-02-11,832
320,2008-02-18,837
321,2008-02-25,814
322,2008-03-03,792
323,2008-03-10,747
324,2008-03-17,643
325,2008-03-24,542
326,2008-03-31,798
327,2008-04-07,994
328,2008-04-14,963
329,2008-04-21,967
330,2008-04-28,936
331,2008-05-05,1071
332,2008-05-12,1013
333,2008-05-19,1329
334,2008-05-26,1528
335,2008-06-02,1649
336,2008-06-09,1801
337,2008-06-16,1652
338,2008-06-23,1468
339,2008-06-30,1680
340,2008-07-07,1891
341,2008-07-14,1810
342,2008-07-21,1743
343,2008-07-28,1595
344,2008-08-04,1808
345,2008-08-11,1874
346,2008-08-18,1759
347,2008-08-25,1843
348,2008-09-01,1807
349,2008-09-08,1923
350,2008-09-15,1545
351,2008-09-22,1469
352,2008-09-29,1251
353,2008-10-06,1324
354,2008-10-13,1444
355,2008-10-20,1354
356,2008-10-27,1169
357,2008-11-03,1330
358,2008-11-10,1248
359,2008-11-17,1302
360,2008-11-24,1157
361,2008-12-01,1213
362,2008-12-08,1088
363,2008-12-15,1092
364,2008-12-22,665
365,2008-12-29,454
366,2009-01-05,1005
367,2009-01-12,1426
368,2009-01-19,908
369,2009-01-26,713
370,2009-02-02,703
371,2009-02-09,765
372,2009-02-16,745
373,2009-02-23,710
374,2009-03-02,775
375,2009-03-09,816
376,2009-03-16,758
377,2009-03-23,924
378,2009-03-30,887
379,2009-04-06,825
380,2009-04-13,680
381,2009-04-20,1041
382,2009-04-27,1021
383,2009-05-04,1098
384,2009-05-11,1165
385,2009-05-18,952
386,2009-05-25,1239
387,2009-06-01,1165
388,2009-06-08,1276
389,2009-06-15,1537
390,2009-06-22,1934
391,2009-06-29,1719
392,2009-07-06,1949
393,2009-07-13,1787
394,2009-07-20,1645
395,2009-07-27,1764
396,2009-08-03,1675
397,2009-08-10,1884
398,2009-08-17,1914
399,2009-08-24,1850
400,2009-08-31,1825
401,2009-09-07,1644
402,2009-09-14,1548
403,2009-09-21,1370
404,2009-09-28,1391
405,2009-10-05,1323
406,2009-10-12,1154
407,2009-10-19,1106
408,2009-10-26,1168
409,2009-11-02,1186
410,2009-11-09,1090
411,2009-11-16,1019
412,2009-11-23,1112
413,2009-11-30,1048
414,2009-12-07,1021
415,2009-12-14,1004
416,2009-12-21,651
417,2009-12-28,459
418,2010-01-04,1074
419,2010-01-11,1388
420,2010-01-18,897
421,2010-01-25,751
422,2010-02-01,687
423,2010-02-08,663
424,2010-02-15,652
425,2010-02-22,681
426,2010-03-01,794
427,2010-03-08,783
428,2010-03-15,856
429,2010-03-22,889
430,2010-03-29,752
431,2010-04-05,553
432,2010-04-12,909
433,2010-04-19,869
434,2010-04-26,863
435,2010-05-03,943
436,2010-05-10,863
437,2010-05-17,1041
438,2010-05-24,1036
439,2010-05-31,1624
440,2010-06-07,1696
441,2010-06-14,1887
442,2010-06-21,1837
443,2010-06-28,1875
444,2010-07-05,2033
445,2010-07-12,2021
446,2010-07-19,2069
447,2010-07-26,2114
448,2010-08-02,1943
449,2010-08-09,1960
450,2010-08-16,2045
451,2010-08-23,1865
452,2010-08-30,1781
453,2010-09-06,1589
454,2010-09-13,1464
455,2010-09-20,1517
456,2010-09-27,1460
457,2010-10-04,1382
458,2010-10-11,1450
459,2010-10-18,1266
460,2010-10-25,1359
461,2010-11-01,1265
462,2010-11-08,1354
463,2010-11-15,1395
464,2010-11-22,1212
465,2010-11-29,1104
466,2010-12-06,1029
467,2010-12-13,955
468,2010-12-20,690
469,2010-12-27,556
470,2011-01-03,878
471,2011-01-10,1249
472,2011-01-17,924
473,2011-01-24,745
474,2011-01-31,763
475,2011-02-07,860
476,2011-02-14,832
477,2011-02-21,754
478,2011-02-28,812
479,2011-03-07,746
480,2011-03-14,743
481,2011-03-21,760
482,2011-03-28,746
483,2011-04-04,806
484,2011-04-11,895
485,2011-04-18,775
486,2011-04-25,625
487,2011-05-02,1010
488,2011-05-09,980
489,2011-05-16,1181
490,2011-05-23,1565
491,2011-05-30,2244
492,2011-06-06,2435
493,2011-06-13,2186
494,2011-06-20,2130
495,2011-06-27,2324
496,2011-07-04,2447
497,2011-07-11,2389
498,2011-07-18,2288
499,2011-07-25,2079
500,2011-08-01,1908
501,2011-08-08,2120
502,2011-08-15,2082
503,2011-08-22,2098
504,2011-08-29,2160
505,2011-09-05,1975
506,2011-09-12,1821
507,2011-09-19,1700
508,2011-09-26,1385
